2017/06/14 13:33:51 [error] 4188#7820: *7 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/tacher.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/tacher.html HTTP/1.1", host: "127.0.0.1"
2017/06/14 13:34:04 [error] 4188#7820: *7 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/TeachPage.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/TeachPage.html HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/teacher.html"
2017/06/14 13:34:36 [error] 4188#7820: *7 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/teacher.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/teacher.html HTTP/1.1", host: "127.0.0.1"
2017/06/14 13:34:37 [error] 4188#7820: *7 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/teacher.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/teacher.html HTTP/1.1", host: "127.0.0.1"
2017/06/14 13:34:37 [error] 4188#7820: *7 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/teacher.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/teacher.html HTTP/1.1", host: "127.0.0.1"
2017/06/14 13:34:37 [error] 4188#7820: *7 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/teacher.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/teacher.html HTTP/1.1", host: "127.0.0.1"
2017/06/14 13:35:17 [error] 4188#7820: *7 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/TeachPage.html"
2017/06/14 13:35:17 [error] 4188#7820: *7 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/TeachPage.html"
2017/06/14 13:36:29 [error] 4188#7820: *21 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/TeachPage.html"
2017/06/14 13:36:29 [error] 4188#7820: *21 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/TeachPage.html"
2017/06/14 13:38:15 [error] 4188#7820: *22 CreateFile() "C:/Users/pp/Desktop/nginx/acts_project/html/acts/js/smoothcroll.js" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /acts/js/smoothcroll.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/acts/TeachPage.html"
